SampleId	afterTrimGal
50-G_S118_L003_R1_001.T1.fq.unpaired_trimmed	11906161
50-G_S118_L003_R1_001.T1_unpaired_1	222750
50-G_S118_L003_R2_001.T1.fq.unpaired_trimmed	169630
50-G_S118_L003_R2_001.T1_unpaired_2	966723
50-H_S97_L003_R1_001.T1.fq.unpaired_trimmed	10891057
50-H_S97_L003_R1_001.T1_unpaired_1	351042
50-H_S97_L003_R2_001.T1.fq.unpaired_trimmed	253408
50-H_S97_L003_R2_001.T1_unpaired_2	1463584
50-M_S21_L003_R1_001.T1.fq.unpaired_trimmed	10844368
50-M_S21_L003_R1_001.T1_unpaired_1	146344
50-M_S21_L003_R2_001.T1.fq.unpaired_trimmed	43652
50-M_S21_L003_R2_001.T1_unpaired_2	191287
50-N_S20_L003_R1_001.T1.fq.unpaired_trimmed	10010662
50-N_S20_L003_R1_001.T1_unpaired_1	153351
50-N_S20_L003_R2_001.T1.fq.unpaired_trimmed	51035
50-N_S20_L003_R2_001.T1_unpaired_2	240132
50-O_S74_L003_R1_001.T1.fq.unpaired_trimmed	12685226
50-O_S74_L003_R1_001.T1_unpaired_1	149892
50-O_S74_L003_R2_001.T1.fq.unpaired_trimmed	56199
50-O_S74_L003_R2_001.T1_unpaired_2	242672
50-P_S86_L003_R1_001.T1.fq.unpaired_trimmed	12416510
50-P_S86_L003_R1_001.T1_unpaired_1	163618
50-P_S86_L003_R2_001.T1.fq.unpaired_trimmed	54275
50-P_S86_L003_R2_001.T1_unpaired_2	237121
62-A_S108_L003_R1_001.T1.fq.unpaired_trimmed	10564016
62-A_S108_L003_R1_001.T1_unpaired_1	191942
62-A_S108_L003_R2_001.T1.fq.unpaired_trimmed	132772
62-A_S108_L003_R2_001.T1_unpaired_2	772428
62-B_S69_L003_R1_001.T1.fq.unpaired_trimmed	10776689
62-B_S69_L003_R1_001.T1_unpaired_1	128002
62-B_S69_L003_R2_001.T1.fq.unpaired_trimmed	42292
62-B_S69_L003_R2_001.T1_unpaired_2	177712
62-C_S15_L003_R1_001.T1.fq.unpaired_trimmed	12736660
62-C_S15_L003_R1_001.T1_unpaired_1	175032
62-C_S15_L003_R2_001.T1.fq.unpaired_trimmed	63597
62-C_S15_L003_R2_001.T1_unpaired_2	274427
62-D_S47_L003_R1_001.T1.fq.unpaired_trimmed	10698190
62-D_S47_L003_R1_001.T1_unpaired_1	165913
62-D_S47_L003_R2_001.T1.fq.unpaired_trimmed	44707
62-D_S47_L003_R2_001.T1_unpaired_2	210939
62-E_S58_L003_R1_001.T1.fq.unpaired_trimmed	11722280
62-E_S58_L003_R1_001.T1_unpaired_1	148867
62-E_S58_L003_R2_001.T1.fq.unpaired_trimmed	50463
62-E_S58_L003_R2_001.T1_unpaired_2	219179
62-F_S28_L003_R1_001.T1.fq.unpaired_trimmed	13715697
62-F_S28_L003_R1_001.T1_unpaired_1	157066
62-F_S28_L003_R2_001.T1.fq.unpaired_trimmed	54558
62-F_S28_L003_R2_001.T1_unpaired_2	231569
62-G_S117_L003_R1_001.T1.fq.unpaired_trimmed	10089003
62-G_S117_L003_R1_001.T1_unpaired_1	437794
62-G_S117_L003_R2_001.T1.fq.unpaired_trimmed	242657
62-G_S117_L003_R2_001.T1_unpaired_2	1456723
62-H_S3_L003_R1_001.T1.fq.unpaired_trimmed	10440903
62-H_S3_L003_R1_001.T1_unpaired_1	146664
62-H_S3_L003_R2_001.T1.fq.unpaired_trimmed	53595
62-H_S3_L003_R2_001.T1_unpaired_2	236857
62-M_S64_L003_R1_001.T1.fq.unpaired_trimmed	11559147
62-M_S64_L003_R1_001.T1_unpaired_1	146962
62-M_S64_L003_R2_001.T1.fq.unpaired_trimmed	50483
62-M_S64_L003_R2_001.T1_unpaired_2	220027
62-N_S100_L003_R1_001.T1.fq.unpaired_trimmed	11154840
62-N_S100_L003_R1_001.T1_unpaired_1	213572
62-N_S100_L003_R2_001.T1.fq.unpaired_trimmed	148038
62-N_S100_L003_R2_001.T1_unpaired_2	866975
62-O_S89_L003_R1_001.T1.fq.unpaired_trimmed	12919429
62-O_S89_L003_R1_001.T1_unpaired_1	149397
62-O_S89_L003_R2_001.T1.fq.unpaired_trimmed	51245
62-O_S89_L003_R2_001.T1_unpaired_2	198753
62-P_S43_L003_R1_001.T1.fq.unpaired_trimmed	9699511
62-P_S43_L003_R1_001.T1_unpaired_1	146627
62-P_S43_L003_R2_001.T1.fq.unpaired_trimmed	58281
62-P_S43_L003_R2_001.T1_unpaired_2	238807
7-A_S23_L003_R1_001.T1.fq.unpaired_trimmed	13820795
7-A_S23_L003_R1_001.T1_unpaired_1	138843
7-A_S23_L003_R2_001.T1.fq.unpaired_trimmed	50576
7-A_S23_L003_R2_001.T1_unpaired_2	196095
7-B_S36_L003_R1_001.T1.fq.unpaired_trimmed	11299084
7-B_S36_L003_R1_001.T1_unpaired_1	129588
7-B_S36_L003_R2_001.T1.fq.unpaired_trimmed	43098
7-B_S36_L003_R2_001.T1_unpaired_2	169724
7-C_S32_L003_R1_001.T1.fq.unpaired_trimmed	11619648
7-C_S32_L003_R1_001.T1_unpaired_1	235255
7-C_S32_L003_R2_001.T1.fq.unpaired_trimmed	66141
7-C_S32_L003_R2_001.T1_unpaired_2	288987
7-E_S88_L003_R1_001.T1.fq.unpaired_trimmed	14968873
